,SEAT_COUNT,BOARD_TYPE,SCREEN_SIZE,INPUTS,TECH_TYPE,CLASSROOM_TYPE,COMPUTER_LAB,CPT,LAST_REFRESH,CAMERA_TYPE,PODIUM_TYPE,COMPUTER,CAMERA_MIC,DISPLAY_TYPE,DISLAY_COUNT,EQUIP_LOC,ADDITIONAL_ROOM_SPECS,LCR_COST,ROOM_ID,ROOM_NAME,BUILDING_NAME
186,None,None,Large Format,Audio - Mic,None,Large Venue,None,V,2009,None,None,None,False,None,0,None,None,45000,5024,HC150,Hoogenboom Center
187,None,Whiteboard - Large,7-foot,None,None,Classroom/Lab,None,II,None,Document,Smart,PC,False,None,0,None,None,None,5025,HC204,Hoogenboom Center
188,None,None,None,"CD Player, Audio - Line, Audio - Mic",None,Classroom/Lab,None,II,2009,None,None,None,False,None,0,None,Windows,20000,5026,HC252,Hoogenboom Center
189,None,Chalkboard - Small,None,"CD Player, Audio - Line",Single Display,Classroom/Lab,None,I,2009,None,None,None,None,Flat Screen,1,None,"Piano, Windows",5000,5027,HC300,Hoogenboom Center
190,None,"Whiteboard - Large, Tack Board",6-foot,"HDMI, Wireless Projection",Teams Enabled,Conference Room,None,I,2022,None,None,PC,None,Flat Screen,2,None,None,10000.00,5034,HL108,Hekman Library
191,12,"Tack Board, Whiteboard - Small",None,VGA,Single Display,Conference Room,None,I,2013,None,None,None,None,Data Projector,1,None,None,5000.00,5035,HL305,Hekman Library
192,None,Whiteboard - Large,8-foot,"HDMI, VGA, Audio - Line, Audio - Mic",Single Display,Small Venue,None,II,2016,None,Smart,PC,None,Data Projector,1,None,Piano,20000.00,5036,HL320,Hekman Library
193,36,Whiteboard - Large,None,"CD Player, HDMI, VGA, Audio - Line, Wireless Projection",Single Display,Custom Classroom/Lab,None,III,2015,Document,None,PC,None,Flat Screen,7,None,Windows,75000.00,5037,HL406C,Hekman Library
194,None,Whiteboard - Small,None,VGA,Single Display,Conference Room,None,I,2016,None,None,None,None,Data Projector,1,None,None,5000.00,5038,HL407,Hekman Library
195,None,None,None,None,None,Custom Classroom/Lab,None,I,None,None,None,None,None,None,0,None,None,5000.00,5039,HL417,Hekman Library
196,10,Whiteboard - Small,7-foot,"CD Player, HDMI, Audio - Line, Audio - Mic",Single Display,Classroom/Lab,PC,II,2018,Document,Smart,None,False,Data Projector,1,None,None,20000,5046,NH054,North Hall
197,30,Chalkboard - Large,7-foot,"CD Player, HDMI, Audio - Line, Audio - Mic",Single Display,Custom Classroom/Lab,PC,II,2018,Document,Smart,None,False,Data Projector,1,None,None,20000,5047,NH059,North Hall
198,24,"Whiteboard - Small, Tack Board",7-foot,"CD Player, HDMI, Audio - Line, Audio - Mic",Single Display,Classroom/Lab,PC,II,2018,Document,Smart,None,False,Data Projector,2,None,Windows,20000,5048,NH160,North Hall
199,10,Whiteboard - Small,None,HDMI,Single Display,Conference Room,None,I,2018,None,None,None,False,Flat Screen,1,None,Windows,5000,5049,NH163,North Hall
200,30,Whiteboard - Small,6-foot,"VGA, Audio - Line",Single Display,Classroom/Lab,None,II,2009,None,Smart,PC,None,Data Projector,1,None,Windows,20000.00,5050,VN130,Van Noord
201,None,None,None,"HDMI, Audio - Line, Wireless Projection",Single Display,Conference Room,None,I,2021,None,None,None,None,Flat Screen,1,None,Windows,500.00,5051,VN210,Van Noord
